서비스ID,정류소명,좌표(X),좌표(Y)
3043,ADO(에이디오),127.421797,36.6997317
1673,CJB컨벤션센터,127.4693589,36.61905561
1670,CJB컨벤션센터,127.4691521,36.61871516
3269,GS메디칼,127.3303208,36.64389032
3268,GS메디칼,127.3294572,36.64396029
3266,JPI헬스케어,127.325559,36.64302031
4071,KBS,127.4583814,36.61870784
2074,KBS,127.4554128,36.61969928
2073,KBS,127.4555072,36.61943854
2019,KBS,127.4579979,36.61924399
1943,LG.SK하이닉스기숙사,127.4538978,36.64862653
1944,LG.SK하이닉스기숙사,127.45406,36.64868057
3041,LG화학,127.4172986,36.6958406
3040,LG화학,127.4172485,36.69555493
2999,LG화학,127.4122667,36.69531581
2996,LG화학제2공장,127.4480315,36.73042123
2995,LG화학제2공장,127.448101,36.73081746
1290,LH충북지역본부.성화다안채6단지,127.4510771,36.61257073
1291,LH충북지역본부.성화다안채6단지,127.4508889,36.61263541
2103,MBC.경덕중학교,127.4354607,36.61907748
2099,MBC.경덕중학교,127.4346132,36.61953107
1930,SK하이닉스.LG화학,127.4354438,36.65168479
1929,SK하이닉스.LG화학,127.4352381,36.65150616
1993,SK하이닉스제2공장,127.4231933,36.64966665
2837,SK하이닉스제2공장,127.4219791,36.64974209
2309,SK하이닉스제2공장,127.4229853,36.65018684
1932,SK하이닉스제2공장,127.423005,36.64765234
1934,SK하이닉스제4공장,127.4279994,36.65738552
1099,e편한세상아파트,127.5093667,36.63674326
1100,e편한세상아파트,127.5093264,36.63693294
2084,가경노인복지관,127.4373597,36.61143264
2085,가경노인복지관,127.4366127,36.61107207
2062,가경대원아파트,127.4379627,36.62619357
2052,가경덕일한마음아파트,127.4418086,36.6230916
2117,가경뜨란채3단지아파트,127.4445327,36.61444485
2081,가경뜨란채3단지아파트,127.4444446,36.61362025
2118,가경뜨란채3단지아파트,127.4427776,36.61462389
2119,가경뜨란채7단지,127.4404412,36.61647612
2120,가경뜨란채7단지,127.4403069,36.61638309
2135,가경뜨란채8단지,127.4382384,36.61891654
2134,가경뜨란채8단지,127.4384121,36.61899701
2066,가경삼일원앙아파트,127.4400373,36.623427
2059,가경세원3차아파트,127.4380368,36.62790197
4090,가경신라아파트,127.4364689,36.63073237
4093,가경신라아파트,127.4361856,36.63105556
2038,가경아이파크5단지,127.4232756,36.61231683
2037,가경아이파크5단지,127.4234207,36.61245259
2121,가경우체국,127.4355547,36.6227607
2070,가경주공2단지아파트,127.4437094,36.61717969
2096,가경주공4단지아파트,127.4420388,36.61045467
2095,가경주공4단지아파트,127.4424053,36.61061173
2100,가경주공6단지아파트,127.4378588,36.61556214
2097,가경주공6단지아파트,127.4380497,36.61591658
2050,가경중학교.청주외국어고등학교,127.445857,36.6246946
2043,가경초등학교.복대2동행정복지센터,127.4424414,36.62499934
2044,가경초등학교.복대2동행정복지센터,127.4423189,36.62486354
2051,가경태암수정아파트,127.441247,36.62273925
4345,가곡,127.4607023,36.71970359
4346,가곡,127.4608222,36.71967774
4344,가곡,127.461383,36.72203491
4343,가곡(동촌),127.4608398,36.72192364
3873,가덕면 내암리,127.5914916,36.56428893
4367,가덕면 수곡2리,127.5632806,36.56352514
3814,가덕초중학교,127.5787868,36.57952248
4244,가득초등학교(새뜸마을3.4단지),127.2454533,36.48567168
4245,가득초등학교(새뜸마을3.4단지),127.2451238,36.48559126
4246,가득초등학교정문,127.2441059,36.48838017
4247,가득초등학교정문,127.243743,36.48834036
3187,가락1리,127.3885167,36.66993532
3188,가락1리,127.3885119,36.67009303
1029,가락1리입구,127.3849748,36.6685343
3108,가락3리,127.372794,36.66606651
3103,가락4리,127.3898069,36.66274278
3104,가락4리,127.3897595,36.66288755
1389,가락골,127.5354408,36.61324494
1388,가락골,127.5353687,36.61314018
4254,가락마을10.13단지,127.2297129,36.51415478
4255,가락마을10.13단지,127.2293568,36.51358999
4256,가락마을17.18단지,127.2346969,36.51950243
4257,가락마을17.18단지,127.2347088,36.51974572
4258,가락마을22단지,127.2412797,36.51989256
4259,가락마을22단지,127.2415453,36.52002945
4248,가락마을6단지,127.2389879,36.50255446
4249,가락마을6단지,127.2382789,36.50250632
4297,가락마을8단지.가재마을4단지,127.2416156,36.50764971
4298,가락마을8단지.가재마을4단지,127.2411919,36.50779475
4252,가락마을9.11단지,127.2299117,36.51061286
4253,가락마을9.11단지,127.22963,36.5106562
2104,가로수마을휴먼시아,127.433399,36.62117912
2105,가로수마을휴먼시아,127.4336219,36.62152657
2101,가로수마을휴먼시아,127.4333241,36.61988512
2400,가마골,127.388134,36.61743656
2415,가마골,127.3881333,36.6172585
2122,가마리,127.4595712,36.60136444
1738,가마육교,127.4711929,36.59507621
1754,가마힐데스하임아파트,127.4709514,36.59952084
1755,가마힐데스하임아파트,127.4709948,36.59931708
3599,가산,127.4933706,36.56487693
2621,가산,127.4933645,36.56500919
3600,가산1구입구,127.4973103,36.56480039
3742,가산2구,127.5020815,36.56142169
3741,가산2리,127.5020154,36.56131447
3602,가산리,127.507393,36.56144085
3601,가산리,127.5068819,36.56220315
4020,가양1리,127.6225,36.661013
4019,가양리,127.6219975,36.66100978
4299,가온마을4.7단지,127.2498073,36.49141203
4327,가온마을4.7단지,127.2494452,36.49160203
4328,가온마을6.9단지,127.2491641,36.49794676
4329,가온마을6.9단지,127.2488978,36.49841141
4318,가좌1리,127.3732697,36.73388371
4319,가좌1리,127.3669197,36.73424429
2493,가좌2구,127.388653,36.73535856
4316,가좌2리,127.3797176,36.7323783
4315,가좌2리,127.3783025,36.7340055
3408,가좌리,127.4616553,36.57943939
3407,가좌리,127.4609021,36.57912915
1110,가좌마을2단지아파트,127.5091382,36.63543299
1106,가좌마을5단지,127.5057083,36.63437251
1107,가좌마을5단지,127.5056662,36.63465922
4320,가좌초등학교,127.3667086,36.73424601
3747,가중1리,127.4792697,36.57545681
2623,가중2리,127.4710606,36.57267573
3743,가중2리(버스종점),127.4709506,36.57251171
3744,가중리(분터골),127.4751616,36.57098784
3745,가중리(양지편),127.4775235,36.57265227
3748,가중리입구,127.4831894,36.57648856
3749,가중리입구,127.4828978,36.57675783
3993,가톨릭꽃동네대학교,127.3993735,36.52367412
2620,가톨릭꽃동네대학교,127.399481,36.52375766
3034,각2리,127.4222948,36.69771758
3033,각리,127.426116,36.7025638
3032,각리1리,127.4261533,36.7030359
3035,각리2리,127.4229069,36.69791246
2994,각리공원,127.4330643,36.71006182
3039,각리공원,127.4326013,36.70997817
3044,각리초등학교,127.4268459,36.705816
3045,각리초등학교,127.4267027,36.70593106
3055,각리초등학교후문,127.4229578,36.70690593
3951,갈산,127.5771385,36.65277719
2393,갈산2길입구,127.5703961,36.65517265
2573,갈산2리,127.3561504,36.53766842
2897,갈산2리,127.3560019,36.53756073
3952,갈산3길입구,127.5695327,36.65552081
2395,갈산3길입구,127.5693243,36.65695073
2375,갈산3길입구,127.5692293,36.65696695
3953,갈산보건진료소,127.5690409,36.65578279
4304,갈원,127.3945511,36.57126391
3454,갈원1리,127.3935287,36.56866894
4305,갈원1리,127.3935815,36.56872974
2377,갈원리,127.3959795,36.57626496
3456,갈원리,127.4034303,36.56793146
3455,갈원리,127.402986,36.56789466
4303,갈원리,127.3945384,36.57137885
3453,갈원리,127.3935661,36.56853665
3431,갈원초등학교,127.3967389,36.56800798
3432,갈원초등학교,127.3965709,36.56791392
3327,강내면행정복지센터,127.3585749,36.62070523
3326,강내면행정복지센터,127.3583513,36.62125793
3336,강내초등학교,127.3574504,36.59807039
3335,강내초등학교,127.357333,36.59806849
1001,강당말,127.5036815,36.68279384
1289,강변뜨란채아파트,127.500809,36.61324686
1288,강변뜨란채아파트,127.5005174,36.61373279
2027,강서1동행정복지센터,127.4268652,36.62712965
2030,강서1동행정복지센터,127.4267552,36.62612218
2028,강서1동행정복지센터,127.4253862,36.6270788
1825,강서2동행정복지센터,127.4522412,36.66477546
1826,강서2동행정복지센터,127.453108,36.66547705
2735,강우스파빌,127.5874253,36.72195044
2741,강우스파빌,127.5874497,36.72184444
2263,강정마을,127.3210138,36.72390649
2265,강정마을,127.3208601,36.72394971
2986,개미고개,127.2206329,36.65807999
3219,개미고개,127.220862,36.65800973
2045,개신그린빌아파트,127.4439951,36.62240145
2046,개신그린빌아파트,127.4437798,36.62241515
2009,개신뜨란채2단지아파트,127.4506807,36.62155276
2010,개신뜨란채2단지아파트,127.4507212,36.62099124
2007,개신주공1단지,127.4498915,36.62357252
2008,개신주공1단지,127.4496657,36.62403099
2047,개신푸르지오아파트,127.4456398,36.61961762
2048,개신푸르지오아파트,127.4457038,36.61911199
2005,개신현대아파트,127.4499038,36.6251756
2006,개신현대아파트,127.4497315,36.62551291
2554,개천이,127.4231948,36.81078974
2390,개천이,127.4235507,36.81077759
1287,건영아파트.원봉초등학교,127.5013858,36.61176982
1286,건영아파트.원봉초등학교,127.501507,36.61150855
3954,검배마을,127.5619209,36.65549678
2476,게네기,127.4359893,36.79731853
2194,게네기,127.4359148,36.79665989
3227,경남아너스빌,127.3296225,36.62945563
2054,경덕초등학교,127.4381372,36.62183076
1687,계룡리슈빌아파트,127.4688271,36.61106977
1688,계룡리슈빌아파트,127.4684835,36.61127455
4360,계산1리,127.5549657,36.55288485
4359,계산1리,127.5550693,36.5528473
4364,계산3리,127.5600753,36.56029055
4363,계산3리,127.5601715,36.56024571
2566,계산리,127.407515,36.78091735
2627,계산리,127.4074051,36.78075472
2738,계산리(산직),127.4113089,36.77997263
2682,계산리(산직),127.411443,36.78002141
2513,고래기마을,127.3979627,36.59042652
2512,고래기마을,127.3978039,36.59050364
2274,고석,127.5979854,36.51131381
2190,고석,127.5996605,36.50779746
2478,고석,127.5994925,36.50794983
2552,고석,127.5978561,36.51126731
2056,고속.시외버스터미널,127.432177,36.62603173
2109,고속버스터미널,127.4301533,36.62653722
2108,고속버스터미널,127.4299869,36.6259352
4250,고운동커뮤니티센터남측,127.235045,36.50447275
,고운동커뮤니티센터남측,127.2347378,36.50436972
3717,고은1리,127.5130453,36.56415298
3716,고은1리.아래고분터,127.513075,36.56435708
3712,고은2리,127.5114029,36.57298826
3713,고은2리.남일파출소앞,127.511627,36.5729228
3719,고은3리.윗고분터,127.5190497,36.56510309
3718,고은3리.윗고분터,127.5190749,36.56526999
3730,고은4구마을회관,127.5085869,36.55729564
3729,고은4구마을회관,127.508658,36.55715145
3728,고은4리,127.5107354,36.56222093
3727,고은4리,127.5109449,36.56226687
3721,고은5리.쌍암동,127.5237108,36.56559739
3720,고은5리.쌍암동,127.522293,36.56561697
3714,고은리,127.509619,36.56581695
3715,고은리,127.5098165,36.56574925
1596,고인쇄박물관.흥덕사지,127.4710975,36.64287231
3162,골말,127.3640532,36.70829616
1479,곰두리체육관,127.4653951,36.66964531
1478,곰두리체육관,127.4655815,36.66968211
3259,공북1리,127.3157263,36.64621643
2221,공북1리,127.3158459,36.64616663
2229,공북2리,127.3059772,36.63912526
2239,공북2리,127.305985,36.6389743
2231,공북2리,127.3108846,36.6408585
2233,공북2리,127.3136357,36.64507534
2235,공북2리,127.3135468,36.64520174
2237,공북2리,127.3110548,36.64077244
3258,공북리마을회관,127.3175959,36.64833403
3257,공북리마을회관,127.3176533,36.64845999
2953,공정거래위원회,127.2672957,36.50435303
3448,공정거래위원회,127.2670754,36.50439633
2950,과학기술정보통신부,127.2633158,36.49595861
3463,과학기술정보통신부,127.263115,36.49599735
2629,"관세인재개발원,해양경찰연구센터",127.2949785,36.76468862
2458,"관세인재개발원,해양경찰연구센터",127.294961,36.76457767
3913,관정1리,127.6387076,36.62239474
3914,관정1리,127.6386814,36.62249667
2245,관정1리(배끼실),127.6293732,36.62198017
3945,관정1리(할뫼마을),127.6350508,36.62096311
3944,관정1리(할뫼마을),127.6346678,36.62094013
3911,관정1리(할뫼마을),127.6364072,36.62122552
3912,관정1리(할뫼마을),127.6358198,36.62106056
3910,관정2리,127.6330304,36.61525247
3907,관정2리(머구미),127.6300049,36.61231209
3908,관정2리(머구미),127.6299646,36.61241689
3909,관정2리(장자불),127.6329011,36.61522931
4220,광암,127.5710407,36.75229591
4221,광암,127.5708997,36.75231099
3676,괴곡,127.5261478,36.50929095
3677,괴곡,127.5207857,36.50646061
3678,괴곡,127.5207275,36.50655352
3679,괴곡,127.5260381,36.509368
3006,괴정리,127.4676855,36.72922476
3005,괴정리,127.4670803,36.73029396
3546,교과서박물관,127.3304654,36.54936266
3547,교과서박물관,127.3304976,36.54906519
2572,교성리,127.4314362,36.85433385
2570,교성리,127.4318822,36.85435082
1827,구.내곡초등학교,127.4286743,36.65968466
